,rmsd,pdb1,pdb2
0,0.4412227583988549,1gb5,1lhj
1,0.4395438776400125,1gb6,1lhj
2,0.42914736300586875,1gb7,1lhj
3,0.4326512045191439,1gb8,1lhj
4,0.43433400983821313,1gb9,1lhj
5,0.4434482450868912,1gbo,1lhj
6,0.44496816623991237,1gbw,1lhj
7,0.43583234174780805,1gbx,1lhj
8,0.43505861411384433,1gby,1lhj
9,0.44110409273132767,1gbz,1lhj
10,0.4352061164317614,1gfh,1lhj
11,0.4373125711312593,1gfj,1lhj
12,0.4400095843442289,1gfk,1lhj
13,0.4303859191204387,1gfr,1lhj
14,0.4506029829180519,1gft,1lhj
15,0.4364111628695674,1gfu,1lhj
16,0.4377197846485079,1gfv,1lhj
17,0.4396872476633193,1inu,1lhj
18,0.4359673489191235,1lhh,1lhj
19,0.4562511657900892,1lhi,1lhj
20,0.44122275839885483,1lhj,1gb5
21,0.4395438776400136,1lhj,1gb6
22,0.42914736300586775,1lhj,1gb7
23,0.4326512045191438,1lhj,1gb8
24,0.434334009838213,1lhj,1gb9
25,0.44344824508689284,1lhj,1gbo
26,0.4449681662399122,1lhj,1gbw
27,0.43583234174781044,1lhj,1gbx
28,0.43505861411384295,1lhj,1gby
29,0.44110409273132717,1lhj,1gbz
30,0.43520611643176055,1lhj,1gfh
31,0.43731257113125993,1lhj,1gfj
32,0.4400095843442278,1lhj,1gfk
33,0.43038591912043717,1lhj,1gfr
34,0.45060298291805295,1lhj,1gft
35,0.43641116286956494,1lhj,1gfu
36,0.4377197846485041,1lhj,1gfv
37,0.4396872476633201,1lhj,1inu
38,0.43596734891912137,1lhj,1lhh
39,0.4562511657900878,1lhj,1lhi
40,0.43636636675381757,1lhj,1lhk
41,0.438250302862844,1lhj,1lhl
42,0.4412129973712205,1lhj,1oub
43,0.4428360507223199,1lhj,1ouc
44,0.44812137562791055,1lhj,1oud
45,0.45440085790594287,1lhj,1oue
46,0.43815728427847256,1lhj,1ouh
47,0.45131258954552256,1lhj,1oui
48,0.4553677720063948,1lhj,1ouj
49,0.4353346603083408,1lhj,1wqm
50,0.4325818111820891,1lhj,1wqn
51,0.4294263438072051,1lhj,1wqo
52,0.4396821065524204,1lhj,1wqp
53,0.46384554664581995,1lhj,1wqq
54,0.44406863675808894,1lhj,1wqr
55,0.4324870360623548,1lhj,1yam
56,0.4486814095171191,1lhj,1yan
57,0.43986211783812595,1lhj,1yao
58,0.4493680268710838,1lhj,1yap
59,0.44486254364306893,1lhj,1yaq
60,0.4687602949052121,1lhj,2hea
61,0.4880851723716072,1lhj,2heb
62,0.4421527732458512,1lhj,2hec
63,0.45329501396463096,1lhj,2hed
64,0.4573845671366433,1lhj,2hee
65,0.45136955467116985,1lhj,2hef
66,0.4363663667538158,1lhk,1lhj
67,0.4382503028628462,1lhl,1lhj
68,0.4412129973712222,1oub,1lhj
69,0.44283605072232013,1ouc,1lhj
70,0.4481213756279083,1oud,1lhj
71,0.4544008579059408,1oue,1lhj
72,0.4381572842784702,1ouh,1lhj
73,0.4513125895455218,1oui,1lhj
74,0.4553677720063967,1ouj,1lhj
75,0.43533466030834267,1wqm,1lhj
76,0.43258181118208994,1wqn,1lhj
77,0.4294263438072044,1wqo,1lhj
78,0.4396821065524185,1wqp,1lhj
79,0.4638455466458205,1wqq,1lhj
80,0.4440686367580893,1wqr,1lhj
81,0.4324870360623539,1yam,1lhj
82,0.448681409517121,1yan,1lhj
83,0.43986211783812695,1yao,1lhj
84,0.4493680268710831,1yap,1lhj
85,0.44486254364306693,1yaq,1lhj
86,0.46876029490520943,2hea,1lhj
87,0.4880851723716065,2heb,1lhj
88,0.4421527732458513,2hec,1lhj
89,0.45329501396463423,2hed,1lhj
90,0.4573845671366429,2hee,1lhj
91,0.4513695546711697,2hef,1lhj
